benchmark,monitor,repetition,time,status
f03_P_x_UNTIL_5_10_Q_x__e937500,staticmon,1,0.18152,ok
f03_P_x_UNTIL_5_10_Q_x__e937500,monpoly,0,0.39051,ok
f03_P_x_UNTIL_5_10_Q_x__e937500,monpoly,1,0.34567,ok
f03_P_x_UNTIL_5_10_Q_x__e1875000,staticmon,0,0.29358,ok
f03_P_x_UNTIL_5_10_Q_x__e1875000,staticmon,1,0.29044,ok
f03_P_x_UNTIL_5_10_Q_x__e1875000,monpoly,0,0.72366,ok
f03_P_x_UNTIL_5_10_Q_x__e1875000,monpoly,1,0.71642,ok
f03_P_x_UNTIL_5_10_Q_x__e3750000,staticmon,0,0.55852,ok
f03_P_x_UNTIL_5_10_Q_x__e3750000,staticmon,1,0.55564,ok
f03_P_x_UNTIL_5_10_Q_x__e3750000,monpoly,0,1.3649,ok
f03_P_x_UNTIL_5_10_Q_x__e3750000,monpoly,1,1.38096,ok
f04_NEXT_0_10_P_x__e234300,staticmon,0,0.23491,ok
f04_NEXT_0_10_P_x__e234300,staticmon,1,0.07641,ok
f04_NEXT_0_10_P_x__e234300,monpoly,0,0.0787,ok
f04_NEXT_0_10_P_x__e234300,monpoly,1,0.07369,ok
f04_NEXT_0_10_P_x__e468750,staticmon,0,0.07501,ok
f04_NEXT_0_10_P_x__e468750,staticmon,1,0.07026,ok
f04_NEXT_0_10_P_x__e468750,monpoly,0,0.13252,ok
f04_NEXT_0_10_P_x__e468750,monpoly,1,0.12777,ok
f04_NEXT_0_10_P_x__e937500,staticmon,0,0.18672,ok
f04_NEXT_0_10_P_x__e937500,staticmon,1,0.18111,ok
f04_NEXT_0_10_P_x__e937500,monpoly,0,0.29154,ok
f04_NEXT_0_10_P_x__e937500,monpoly,1,0.28654,ok
f04_NEXT_0_10_P_x__e1875000,staticmon,0,0.29311,ok
f04_NEXT_0_10_P_x__e1875000,staticmon,1,0.28796,ok
f04_NEXT_0_10_P_x__e1875000,monpoly,0,0.50646,ok
f04_NEXT_0_10_P_x__e1875000,monpoly,1,0.50735,ok
f04_NEXT_0_10_P_x__e3750000,staticmon,0,0.50669,ok
f04_NEXT_0_10_P_x__e3750000,staticmon,1,0.51217,ok
f04_NEXT_0_10_P_x__e3750000,monpoly,0,0.98744,ok
f04_NEXT_0_10_P_x__e3750000,monpoly,1,0.98195,ok
f05_NOT_P_x_SINCE_0_Q_x__e60150,staticmon,0,0.35164,ok
f05_NOT_P_x_SINCE_0_Q_x__e60150,staticmon,1,0.18069,ok
f05_NOT_P_x_SINCE_0_Q_x__e60150,monpoly,0,0.23127,ok
f05_NOT_P_x_SINCE_0_Q_x__e60150,monpoly,1,0.23434,ok
f05_NOT_P_x_SINCE_0_Q_x__e120300,staticmon,0,0.39339,ok
f05_NOT_P_x_SINCE_0_Q_x__e120300,staticmon,1,0.39456,ok
f05_NOT_P_x_SINCE_0_Q_x__e120300,monpoly,0,0.50526,ok
f05_NOT_P_x_SINCE_0_Q_x__e120300,monpoly,1,0.50966,ok
f05_NOT_P_x_SINCE_0_Q_x__e240750,staticmon,0,0.82531,ok
f05_NOT_P_x_SINCE_0_Q_x__e240750,staticmon,1,0.83194,ok
f05_NOT_P_x_SINCE_0_Q_x__e240750,monpoly,0,1.04371,ok
f05_NOT_P_x_SINCE_0_Q_x__e240750,monpoly,1,1.06755,ok
f05_NOT_P_x_SINCE_0_Q_x__e481500,staticmon,0,1.6933,ok
f05_NOT_P_x_SINCE_0_Q_x__e481500,staticmon,1,1.69279,ok
f05_NOT_P_x_SINCE_0_Q_x__e481500,monpoly,0,2.07682,ok
f05_NOT_P_x_SINCE_0_Q_x__e481500,monpoly,1,2.11994,ok
f05_NOT_P_x_SINCE_0_Q_x__e963000,staticmon,0,3.0,timeout
f05_NOT_P_x_SINCE_0_Q_x__e963000,monpoly,0,3.0,timeout
f06_NOT_P_x_UNTIL_0_10_Q_x__e212400,staticmon,0,0.28894,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e212400,staticmon,1,0.12951,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e212400,monpoly,0,0.23332,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e212400,monpoly,1,0.23332,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e424950,staticmon,0,0.23565,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e424950,staticmon,1,0.23565,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e424950,monpoly,0,0.50332,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e424950,monpoly,1,0.50845,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e849900,staticmon,0,0.45659,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e849900,staticmon,1,0.45833,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e849900,monpoly,0,0.93661,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e849900,monpoly,1,0.89555,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e1699800,staticmon,0,0.87574,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e1699800,staticmon,1,0.88821,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e1699800,monpoly,0,1.77015,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e1699800,monpoly,1,1.79987,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e3399600,staticmon,0,1.75384,ok
f06_NOT_P_x_UNTIL_0_10_Q_x__e3399600,staticmon,1,1.74346,ok
